city,year,count
"Washington, DC",2014,316
"Washington, DC",2015,297
"Washington, DC",2016,346
"Washington, DC",2017,295
"Washington, DC",2018,275
"Washington, DC",2019,188
"Washington, DC",2020,169
"Washington, DC",2021,176
"Washington, DC",2022,158
"Washington, DC",2023,185
"Chicago, Illinois",2017,1798
"Chicago, Illinois",2018,1841
"Chicago, Illinois",2019,1761
"Chicago, Illinois",2021,1648
"Chicago, Illinois",2022,1896
"Chicago, Illinois",2023,1941
"Chicago, Illinois",2024,1866
"Memphis, Tennessee",2014,584
"Memphis, Tennessee",2015,566
"Memphis, Tennessee",2016,636
"Memphis, Tennessee",2017,664
"Memphis, Tennessee",2018,630
"Memphis, Tennessee",2019,568
"Memphis, Tennessee",2020,488
"Memphis, Tennessee",2021,472
"Memphis, Tennessee",2022,544
"Memphis, Tennessee",2023,515
"Memphis, Tennessee",2024,528
